epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,268.259,0.58258,0.42018,0.87134,0.96138,0.99789,0.99215,0.86129,0.55746,0.36519,0.82532,0.0005941,0.0005941,0.0005941
43,274.185,0.56854,0.40308,0.86347,0.95044,0.9828,0.98859,0.87365,0.53525,0.36242,0.8192,0.0005842,0.0005842,0.0005842
44,280.151,0.57931,0.40803,0.87389,0.96832,0.99473,0.99348,0.88996,0.49679,0.32604,0.81599,0.0005743,0.0005743,0.0005743
45,286.182,0.57012,0.39368,0.85908,0.95266,0.99502,0.99306,0.86092,0.56556,0.35215,0.82527,0.0005644,0.0005644,0.0005644
46,292.154,0.56054,0.39348,0.86351,0.96793,0.99074,0.99043,0.85642,0.56803,0.34717,0.82418,0.0005545,0.0005545,0.0005545
47,298.199,0.56766,0.39999,0.87045,0.96543,0.99163,0.99118,0.8936,0.49193,0.33245,0.80585,0.0005446,0.0005446,0.0005446
48,304.149,0.56113,0.38863,0.8647,0.96488,0.98229,0.98799,0.86488,0.53454,0.35589,0.82137,0.0005347,0.0005347,0.0005347
49,310.163,0.55189,0.38957,0.85785,0.95335,0.99025,0.99214,0.87075,0.55688,0.33571,0.82224,0.0005248,0.0005248,0.0005248
50,316.134,0.5493,0.38541,0.8607,0.97192,0.99074,0.98718,0.85167,0.5606,0.34297,0.82557,0.0005149,0.0005149,0.0005149
51,322.203,0.55757,0.38931,0.86738,0.95613,0.98718,0.99382,0.89652,0.46897,0.32922,0.80307,0.000505,0.000505,0.000505
52,328.22,0.53988,0.37445,0.8586,0.97426,0.99209,0.98897,0.87,0.53222,0.32715,0.81453,0.0004951,0.0004951,0.0004951
53,334.247,0.58258,0.37884,0.86353,0.97033,0.99235,0.9888,0.88216,0.48293,0.31528,0.80519,0.0004852,0.0004852,0.0004852
54,340.174,0.53686,0.36304,0.85056,0.96693,0.99968,0.98744,0.83434,0.621,0.33607,0.83635,0.0004753,0.0004753,0.0004753
55,346.129,0.52859,0.37262,0.85583,0.97103,0.98559,0.98744,0.84075,0.60323,0.35054,0.8364,0.0004654,0.0004654,0.0004654
56,352.004,0.53891,0.36383,0.85595,0.9617,0.99584,0.99208,0.86672,0.51935,0.3258,0.81362,0.0004555,0.0004555,0.0004555
57,357.908,0.53454,0.3674,0.85679,0.97331,0.9838,0.99035,0.84419,0.61734,0.34511,0.83841,0.0004456,0.0004456,0.0004456
58,363.938,0.53412,0.361,0.8496,0.96898,0.99614,0.9931,0.86725,0.52297,0.32502,0.81532,0.0004357,0.0004357,0.0004357
59,369.945,0.52168,0.36158,0.85145,0.97405,0.99348,0.988,0.87073,0.52304,0.32251,0.81388,0.0004258,0.0004258,0.0004258
60,375.901,0.53104,0.36255,0.84996,0.97093,0.98169,0.99,0.868,0.52237,0.33776,0.81488,0.0004159,0.0004159,0.0004159
61,381.842,0.51586,0.35403,0.84776,0.95871,0.99495,0.99285,0.87391,0.5418,0.3189,0.82175,0.000406,0.000406,0.000406
62,387.819,0.50997,0.34764,0.84904,0.97653,0.99169,0.98971,0.85201,0.57179,0.32209,0.8264,0.0003961,0.0003961,0.0003961
63,393.871,0.51248,0.34705,0.85022,0.96164,0.99815,0.99036,0.88688,0.49264,0.30148,0.80668,0.0003862,0.0003862,0.0003862
64,400.137,0.53506,0.35984,0.85088,0.96562,0.99787,0.99285,0.87829,0.51617,0.31245,0.81468,0.0003763,0.0003763,0.0003763
65,406.285,0.52074,0.35027,0.85339,0.97216,0.9947,0.98999,0.8535,0.56831,0.34842,0.82536,0.0003664,0.0003664,0.0003664
66,412.306,0.49547,0.34066,0.84525,0.96235,0.99163,0.99049,0.87002,0.50881,0.32221,0.80987,0.0003565,0.0003565,0.0003565
67,418.34,0.49794,0.33845,0.84289,0.96957,0.99177,0.99158,0.87081,0.53394,0.31447,0.81672,0.0003466,0.0003466,0.0003466
68,424.369,0.49278,0.3343,0.84117,0.96934,1,0.98853,0.86229,0.53075,0.31391,0.81853,0.0003367,0.0003367,0.0003367
69,430.376,0.50129,0.34105,0.84595,0.97275,0.99917,0.98897,0.87258,0.51274,0.30859,0.81316,0.0003268,0.0003268,0.0003268
70,436.475,0.48504,0.32921,0.84221,0.94869,0.9956,0.9891,0.8827,0.49457,0.30938,0.80814,0.0003169,0.0003169,0.0003169
71,442.539,0.49337,0.33272,0.83808,0.9679,0.98329,0.98806,0.8697,0.5379,0.31533,0.81509,0.000307,0.000307,0.000307
72,448.486,0.49455,0.33299,0.84541,0.97015,0.98386,0.98806,0.87168,0.51007,0.30331,0.81082,0.0002971,0.0002971,0.0002971
73,454.475,0.46142,0.31619,0.83422,0.96941,0.98569,0.98744,0.86858,0.52609,0.31051,0.81509,0.0002872,0.0002872,0.0002872
74,460.487,0.47095,0.31357,0.83339,0.97157,0.98659,0.98824,0.87545,0.51191,0.31238,0.81488,0.0002773,0.0002773,0.0002773
75,466.483,0.46926,0.32035,0.8396,0.96538,0.98688,0.98644,0.8671,0.52948,0.31618,0.81656,0.0002674,0.0002674,0.0002674
76,472.515,0.46414,0.32001,0.83328,0.97084,0.99302,0.98669,0.87328,0.49624,0.29817,0.81021,0.0002575,0.0002575,0.0002575
77,478.58,0.4716,0.32238,0.84149,0.95781,0.98321,0.98734,0.88405,0.50017,0.30644,0.81012,0.0002476,0.0002476,0.0002476
78,484.604,0.46224,0.31167,0.83697,0.96903,0.98147,0.98745,0.87153,0.52176,0.31057,0.81665,0.0002377,0.0002377,0.0002377
79,490.579,0.45894,0.30854,0.83509,0.97222,0.99159,0.987,0.87269,0.48729,0.31085,0.80752,0.0002278,0.0002278,0.0002278
80,496.536,0.45668,0.31056,0.83692,0.95921,1,0.98728,0.86384,0.53129,0.30901,0.81954,0.0002179,0.0002179,0.0002179
81,502.528,0.468,0.31401,0.8353,0.97589,0.99903,0.98824,0.85718,0.55106,0.30786,0.82302,0.000208,0.000208,0.000208
82,508.571,0.45074,0.31047,0.83294,0.97141,1,0.98762,0.85175,0.57425,0.31345,0.82886,0.0001981,0.0001981,0.0001981
83,514.539,0.45847,0.30603,0.839,0.97376,1,0.98728,0.87969,0.51362,0.29571,0.81082,0.0001882,0.0001882,0.0001882
84,520.456,0.46276,0.30825,0.83199,0.97293,0.9932,0.9871,0.87393,0.49662,0.293,0.8086,0.0001783,0.0001783,0.0001783
85,526.417,0.44554,0.3062,0.82819,0.97431,1,0.98772,0.85457,0.55386,0.30874,0.82246,0.0001684,0.0001684,0.0001684
86,532.366,0.45053,0.30298,0.83131,0.97264,0.99613,0.98806,0.86355,0.52746,0.29201,0.81433,0.0001585,0.0001585,0.0001585
87,538.367,0.44229,0.29984,0.83589,0.96826,0.99369,0.98796,0.86401,0.52467,0.29218,0.81523,0.0001486,0.0001486,0.0001486
88,544.376,0.43941,0.29693,0.83103,0.97137,0.99711,0.987,0.87969,0.49965,0.29436,0.80995,0.0001387,0.0001387,0.0001387
89,550.399,0.43729,0.2965,0.82474,0.96427,0.99587,0.98551,0.86974,0.51173,0.29338,0.81183,0.0001288,0.0001288,0.0001288
90,556.303,0.42357,0.29288,0.82293,0.96209,0.99984,0.98572,0.86125,0.5393,0.29999,0.81955,0.0001189,0.0001189,0.0001189
91,599.203,0.42267,0.28443,0.82805,0.95851,0.99432,0.98728,0.87224,0.50932,0.30199,0.8118,0.000109,0.000109,0.000109
92,605.037,0.41155,0.27213,0.81971,0.95904,0.99795,0.98647,0.86456,0.53439,0.30596,0.81738,9.91e-05,9.91e-05,9.91e-05
93,611.162,0.3976,0.26294,0.81535,0.9633,0.99817,0.9871,0.85894,0.54477,0.30538,0.8219,8.92e-05,8.92e-05,8.92e-05
94,617.192,0.3941,0.26674,0.81891,0.97538,0.98548,0.98647,0.87816,0.47891,0.28266,0.8044,7.93e-05,7.93e-05,7.93e-05
95,623.522,0.37703,0.2595,0.81196,0.9736,0.98875,0.98675,0.86338,0.54067,0.30214,0.81974,6.94e-05,6.94e-05,6.94e-05
96,629.445,0.3697,0.25348,0.80262,0.96695,0.99594,0.9871,0.87216,0.51839,0.29457,0.81524,5.95e-05,5.95e-05,5.95e-05
97,635.416,0.36897,0.25408,0.80203,0.96583,0.99695,0.987,0.85649,0.54755,0.30087,0.82221,4.96e-05,4.96e-05,4.96e-05
98,641.289,0.36246,0.25027,0.80627,0.96497,0.99511,0.98675,0.86898,0.52135,0.29111,0.81446,3.97e-05,3.97e-05,3.97e-05
99,647.068,0.3651,0.25104,0.80721,0.96219,0.99774,0.98647,0.8708,0.51153,0.29713,0.81229,2.98e-05,2.98e-05,2.98e-05
100,652.885,0.35709,0.24606,0.80895,0.96479,0.99638,0.98728,0.86859,0.52298,0.29615,0.81389,1.99e-05,1.99e-05,1.99e-05
